"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
498248;2023-01-09;"segunda-feira";"16:15:00";"RJ";101;490,2;"ANGRA DOS REIS";"Transitar na contramão";"Colisão frontal";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Chuva";"Simples";"Reta";"Não";4;1;1;1;0;1;2;3;-22,95640053;-44,31282898;"SPRF-RJ";"DEL03-RJ";"UOP03-DEL03-RJ"
498249;2023-01-09;"segunda-feira";"14:45:00";"MT";158;501,6;"CANARANA";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Declive;Reta";"Não";4;0;1;1;1;1;2;3;-13,53230705;-51,91888579;"SPRF-MT";"DEL07-MT";"UOP02-DEL07-MT"
498250;2023-01-09;"segunda-feira";"15:10:00";"PR";158;534;"PATO BRANCO";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta;Aclive";"Não";5;0;3;0;2;0;3;3;-26,22652612;-52,68914074;"SPRF-PR";"DEL02-PR";"UOP01-DEL02-PR"
498251;2023-01-09;"segunda-feira";"17:00:00";"MG";116;417;"GOVERNADOR VALADARES";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;1;0;1;2;-18,90130308;-41,94492414;"SPRF-MG";"DEL06-MG";"UOP01-DEL06-MG"
498265;2023-01-09;"segunda-feira";"18:10:00";"CE";116;23;"ITAITINGA";"Carga excessiva e/ou mal acondicionada";"Eventos atípicos";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";4;0;2;0;1;1;2;4;-3,95617936;-38,51283073;"SPRF-CE";"DEL01-CE";"UOP02-DEL01-CE"
498267;2023-01-09;"segunda-feira";"17:00:00";"MG";40;71,9;"PARACATU";"Condutor deixou de manter distância do veículo da frente";"Engavetamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta;Aclive";"Não";6;0;1;0;4;2;1;5;-17,40773313;-46,72153313;"SPRF-MG";"DEL14-MG";"UOP01-DEL14-MG"
498268;2023-01-09;"segunda-feira";"15:50:00";"SC";101;321,8;"PESCARIA BRAVA";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";5;0;1;1;2;2;2;6;-28,42532339;-48,8919091;"SPRF-SC";"DEL02-SC";"UOP01-DEL02-SC"
498274;2023-01-09;"segunda-feira";"16:50:00";"GO";153;505;"APARECIDA DE GOIANIA";"Mal súbito do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-16,75365332;-49,2412591;"SPRF-GO";"DEL01-GO";"UOP01-DEL01-GO"
498277;2023-01-09;"segunda-feira";"16:20:00";"MA";222;261;"MIRANDA DO NORTE";"Manobra de mudança de faixa";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";4;0;1;0;3;0;1;2;-3,58383859;-44,65699199;"SPRF-MA";"DEL01-MA";"UOP02-DEL01-MA"
498284;2023-01-09;"segunda-feira";"12:00:00";"RJ";493;8,5;"GUAPIMIRIM";"Problema com o freio";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Reta";"Não";2;0;1;0;1;0;1;2;-22,71330892;-42,95334574;"SPRF-RJ";"DEL04-RJ";"UOP02-DEL04-RJ"
